"","ligand_cl","receptor_cl","lr_id","ligand_exp","receptor_exp","int_exp","id","ligand_symbol","receptor_symbol"
"725471","Neutrophils","Proliferating_TRAM",863,0.771084337349398,0.114285714285714,0.114285714285714,"Neutrophils->Proliferating_TRAM/863","Il1b","Il1rap"
"725616","Neutrophils","Mesothelium",863,0.771084337349398,0.189189189189189,0.189189189189189,"Neutrophils->Mesothelium/863","Il1b","Il1rap"
"809897","Endo_2","Classical_monocytes",964,0.126582278481013,1,0.126582278481013,"Endo_2->Classical_monocytes/964","Lamb2","Rpsa"
"833897","AT2","AT2_Retnla",992,0.90791788856305,0.727748691099476,0.727748691099476,"AT2->AT2_Retnla/992","Lcn2","Lrp2"
"845628","AT2_Retnla","MoAM",1006,0.120418848167539,0.778688524590164,0.120418848167539,"AT2_Retnla->MoAM/1006","Lpl","Lrp1"
"845636","AT1","MoAM",1006,0.147058823529412,0.778688524590164,0.147058823529412,"AT1->MoAM/1006","Lpl","Lrp1"
"845638","Smooth_muscle_cells","MoAM",1006,0.260869565217391,0.778688524590164,0.260869565217391,"Smooth_muscle_cells->MoAM/1006","Lpl","Lrp1"
"845639","Lymphatics","MoAM",1006,0.24,0.778688524590164,0.24,"Lymphatics->MoAM/1006","Lpl","Lrp1"
"849831","MoAM","MoAM",1011,0.372950819672131,0.778688524590164,0.372950819672131,"MoAM->MoAM/1011","Lrpap1","Lrp1"
"849833","AT2_Retnla","MoAM",1011,0.261780104712042,0.778688524590164,0.261780104712042,"AT2_Retnla->MoAM/1011","Lrpap1","Lrp1"
"865401","Club_cells","Classical_monocytes",1030,0.312169312169312,0.539634146341463,0.312169312169312,"Club_cells->Classical_monocytes/1030","Ltf","Lrp1"
"865517","Club_cells","Non-classical_monocytes",1030,0.312169312169312,0.519396551724138,0.312169312169312,"Club_cells->Non-classical_monocytes/1030","Ltf","Lrp1"
"865546","Club_cells","TRAM",1030,0.312169312169312,0.81322505800464,0.312169312169312,"Club_cells->TRAM/1030","Ltf","Lrp1"
"865575","Club_cells","Neutrophils",1030,0.312169312169312,0.168674698795181,0.168674698795181,"Club_cells->Neutrophils/1030","Ltf","Lrp1"
"865604","Club_cells","IM",1030,0.312169312169312,0.448369565217391,0.312169312169312,"Club_cells->IM/1030","Ltf","Lrp1"
"865662","Club_cells","DC2",1030,0.312169312169312,0.319548872180451,0.312169312169312,"Club_cells->DC2/1030","Ltf","Lrp1"
"865749","Club_cells","DC1",1030,0.312169312169312,0.127450980392157,0.127450980392157,"Club_cells->DC1/1030","Ltf","Lrp1"
"865807","Club_cells","MoAM",1030,0.312169312169312,0.778688524590164,0.312169312169312,"Club_cells->MoAM/1030","Ltf","Lrp1"
"865923","Club_cells","Proliferating_TRAM",1030,0.312169312169312,0.657142857142857,0.312169312169312,"Club_cells->Proliferating_TRAM/1030","Ltf","Lrp1"
"865952","Club_cells","pDC",1030,0.312169312169312,0.104166666666667,0.104166666666667,"Club_cells->pDC/1030","Ltf","Lrp1"
"866010","Club_cells","Fibroblasts",1030,0.312169312169312,0.821428571428571,0.312169312169312,"Club_cells->Fibroblasts/1030","Ltf","Lrp1"
